"dates" "p.F" "p.G" "p.C"
2006-12-06 0.0124875124875118 0.160339660339663 0.000499500499500368
2006-12-07 0.00749250749250736 0.168331668331669 0.000499500499500023
2006-12-08 0.0144855144855138 0.193306693306687 0.00049950049950061
2006-12-11 0.0154845154845151 0.183316683316687 0.000499500499501428
2006-12-12 0.00649350649350802 0.18931068931069 0.000499500499499969
2006-12-13 0.0124875124875114 0.172327672327676 0.000499500499501036
2006-12-14 0.0074925074925085 0.189310689310684 0.000499500499500014
2006-12-15 0.0244755244755242 0.196303696303698 0.00149850149850194
2006-12-18 0.0054945054945063 0.231268731268732 0.00049950049950023
2006-12-19 0.00649350649350731 0.230269730269727 0.000499500499500911
2006-12-20 0.00449550449550416 0.24925074925075 0.000499500499500707
2006-12-21 0.00849150849150835 0.272227772227777 0.000499500499500307
